Date,Equipment,Plane Score,Connection Score,Rotation Score,Bat Speed (mph),Rotational Acceleration (g),On Plane Efficiency (%),Attack Angle (deg),Early Connection (deg),Connection at Impact (deg),Vertical Bat Angle (deg),Power (kW),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor
"October 3, 2018 / 3:29pm",Axe Avenge 2017,,,,62.8,,,8,,,-21,4.19,0.12,16.6,83
"October 3, 2018 / 3:29pm",Axe Avenge 2017,,,,61.9,,,-4,,,-24,4.28,0.11,16.7,77
"October 3, 2018 / 3:28pm",Axe Avenge 2017,,,,68.9,,,16,,,-20,4.66,0.13,16.1,72
"October 3, 2018 / 3:28pm",Axe Avenge 2017,,,,66.3,,,6,,,-20,4.67,0.12,17.8,76
"October 3, 2018 / 3:28pm",Axe Avenge 2017,,,,64.3,,,15,,,-15,4.39,0.12,15.4,79
"October 3, 2018 / 3:28pm",Axe Avenge 2017,,,,64.1,,,-1,,,-23,4.16,0.13,17.2,70
"October 3, 2018 / 3:28pm",Axe Avenge 2017,,,,59.7,,,-3,,,-25,3.85,0.12,15.9,75
"October 3, 2018 / 3:28pm",Axe Avenge 2017,,,,60.9,,,8,,,-16,3.81,0.12,16.4,83
"October 3, 2018 / 3:28pm",Axe Avenge 2017,,,,63.1,,,-6,,,-27,4.23,0.12,17.5,73
"October 3, 2018 / 3:28pm",Axe Avenge 2017,,,,56.6,,,3,,,-26,3.46,0.12,15.4,83
"October 3, 2018 / 3:21pm",Ryan's Bat,,,,59.9,,,2,,,-39,2.78,0.17,19.1,62
"October 3, 2018 / 3:21pm",Ryan's Bat,,,,71.5,,,4,,,-50,4.11,0.16,21.3,81
"October 3, 2018 / 3:21pm",Ryan's Bat,,,,71.9,,,5,,,-41,4.31,0.16,20.9,80
"October 3, 2018 / 3:21pm",Ryan's Bat,,,,70.9,,,6,,,-39,4.09,0.16,20.5,80
"October 3, 2018 / 3:21pm",Ryan's Bat,,,,70.8,,,3,,,-42,4.23,0.16,21.9,83
"October 3, 2018 / 3:21pm",Ryan's Bat,,,,67.5,,,6,,,-36,3.66,0.16,20.5,82
"October 3, 2018 / 3:21pm",Ryan's Bat,,,,68,,,11,,,-31,3.71,0.16,19,79
"October 3, 2018 / 3:21pm",Ryan's Bat,,,,66.7,,,8,,,-34,3.53,0.17,19.6,80
"October 3, 2018 / 3:20pm",Ryan's Bat,,,,68.8,,,10,,,-31,3.89,0.16,19.3,81
"October 3, 2018 / 3:20pm",Ryan's Bat,,,,67.7,,,2,,,-43,3.93,0.15,21.4,72
"October 3, 2018 / 3:20pm",Ryan's Bat,,,,69.6,,,10,,,-30,3.75,0.17,19.9,79
"October 3, 2018 / 3:20pm",Ryan's Bat,,,,68.6,,,7,,,-35,3.83,0.16,21.3,84
"October 3, 2018 / 3:18pm",Easton CU31,,,,69.1,,,10,,,-42,3.9,0.13,19.4,78
"October 3, 2018 / 3:18pm",Easton CU31,,,,65.1,,,7,,,-25,3.51,0.13,18.1,74
"October 3, 2018 / 3:18pm",Easton CU31,,,,54.4,,,-17,,,-37,2.71,0.12,15.9,69
"October 3, 2018 / 3:18pm",Easton CU31,,,,62.6,,,14,,,-43,3.02,0.14,17.8,67
"October 3, 2018 / 3:18pm",Easton CU31,,,,67.2,,,8,,,-43,3.42,0.14,19.6,73
"October 3, 2018 / 3:17pm",Easton CU31,,,,65.7,,,7,,,-39,3.53,0.13,19.9,75
"October 3, 2018 / 3:17pm",Easton CU31,,,,61.7,,,11,,,-40,3.01,0.13,17.8,68
"October 3, 2018 / 3:17pm",Easton CU31,,,,62.8,,,11,,,-36,3.04,0.14,19.1,70
"October 3, 2018 / 3:17pm",Easton CU31,,,,57.8,,,9,,,-27,2.47,0.14,18.1,66
"September 30, 2018 / 10:51am",Demarini Wood Composite,,,,53.2,,,0,,,-43,2.39,0.16,17.3,57
"September 30, 2018 / 10:51am",Demarini Wood Composite,,,,56,,,8,,,-44,2.83,0.15,19.1,69
"September 30, 2018 / 10:51am",Demarini Wood Composite,,,,60.5,,,14,,,-34,3.54,0.14,16.3,72
"September 30, 2018 / 10:51am",Demarini Wood Composite,,,,59.5,,,1,,,-38,3.24,0.14,18.6,63
"September 30, 2018 / 10:51am",Demarini Wood Composite,,,,60.7,,,18,,,-32,3.32,0.15,18.3,68
"September 30, 2018 / 10:50am",Demarini Wood Composite,,,,58.9,,,4,,,-44,3.17,0.14,19.7,65
"September 30, 2018 / 10:50am",Demarini Wood Composite,,,,62,,,5,,,-38,3.61,0.14,19.2,72
"September 30, 2018 / 10:50am",Demarini Wood Composite,,,,65.4,,,9,,,-40,3.86,0.15,18.5,81
"September 30, 2018 / 10:50am",Demarini Wood Composite,,,,59.1,,,-6,,,-48,3.24,0.14,20,64
"September 30, 2018 / 10:50am",Demarini Wood Composite,,,,57.2,,,3,,,-48,2.79,0.15,18.5,60
"September 30, 2018 / 10:50am",Demarini Wood Composite,,,,60.9,,,14,,,-30,2.95,0.17,17.8,68
"September 30, 2018 / 10:50am",Demarini Wood Composite,,,,56.5,,,-4,,,-35,3,0.14,18,67
"September 30, 2018 / 10:41am",Demarini Wood Composite,,,,66.2,,,10,,,-32,4.58,0.13,19,87
"September 30, 2018 / 10:41am",Demarini Wood Composite,,,,61.9,,,-2,,,-51,3.56,0.14,18.7,72
